brand_normalized,year,price_update_count,diesel_mean,e5_mean,e10_mean
HOYER,2021,242408,1.3771160922764665,1.570681749541581,1.5124423014806245
HOYER,2022,283650,1.952051781248126,1.924783852428695,1.866098050018437
HOYER,2023,231810,1.7164966823990266,1.8385334552581234,1.7787839767529579
HOYER,2024,270429,1.6382146928388868,1.7865136072325463,1.7269765727278994
HOYER,2025,283189,1.6001801597559167,1.7316261346860269,1.6712754397605978
HOYER,2026,48329,1.7168404825459889,1.8052079903036957,1.7458794915034377
JET,2014,643916,1.3076976057866634,1.4985945126970566,1.4585928185007946
JET,2015,1516596,1.1406821842082353,1.3637452890789468,1.3434346183321395
JET,2016,2051100,1.059283404929663,1.2793955132870625,1.2592355898759247
JET,2017,2964814,1.1372707430372413,1.3439796680971006,1.319345277164287
JET,2018,2966366,1.265511803489598,1.4315316057746217,1.4098050526300159
JET,2019,3521705,1.2446732246458092,1.4102539774584422,1.3878520602665159
JET,2020,4644301,1.0931992650635383,1.2713977613648428,1.235722650757869
JET,2021,5567775,1.3782768633671731,1.5716503850883754,1.5126295418746374
JET,2022,6270573,1.9354632357526311,1.9017978907717676,1.8419313812263598
JET,2023,6307820,1.7075572804137715,1.829038815667236,1.7692182840840147
JET,2024,7031766,1.6257550844760398,1.7732004672127017,1.713278842037869
JET,2025,7857560,1.5861362425278474,1.7165741411032522,1.656730552144116
JET,2026,1366173,1.6902889070417875,1.7836685741849678,1.7237458850379859
OIL!,2014,309585,1.3130225561481088,1.504303828052574,1.470306386332583
OIL!,2015,651571,1.1400532370633354,1.3639671162488027,1.3437785937593525
OIL!,2016,754879,1.0534958115675719,1.2771519541640546,1.2570205244362982
OIL!,2017,961514,1.1309536018456496,1.342719260457986,1.3226733651426175
OIL!,2018,1024867,1.2542963171211696,1.4266998618345175,1.406473196147862
OIL!,2019,1214001,1.236354140032949,1.4065499608319927,1.3865049594950027
OIL!,2020,1628236,1.0884546124776595,1.2704021495668623,1.2343930030833763
OIL!,2021,1875402,1.3702552512967203,1.56338336633959,1.504561339164779
OIL!,2022,1979639,1.9295862241679775,1.896568069733926,1.836744790954645
OIL!,2023,2059421,1.695156420663866,1.8224274894229058,1.763174132116977
OIL!,2024,2204626,1.6244315194504646,1.7709040712574378,1.711144744148911
OIL!,2025,2512592,1.5877255336322016,1.718328136442367,1.658493009269169
OIL!,2026,454479,1.693560512146876,1.7861496064724665,1.7262098257298257
OMV,2014,269992,1.3441490849559423,1.5298057776277374,1.4897238182263923
OMV,2015,601922,1.1835463323542312,1.4008346734630985,1.380329321008734
OMV,2016,751313,1.0950385162646266,1.308966882061394,1.2889373987291128
OMV,2017,913557,1.1783555225426325,1.3715304724863688,1.351512995105869
OMV,2018,1085694,1.3164119128915397,1.4669648773766168,1.4464404145377645
OMV,2019,1274791,1.28471172974703,1.4365586895266307,1.4178414502381715
OMV,2020,1720988,1.1145289930864248,1.2824276055303567,1.2496812810200029
OMV,2021,1781308,1.395107918500836,1.5788417517644786,1.5194234866077114
OMV,2022,1953912,1.97021800105225,1.927302551462486,1.8680862963428815
OMV,2023,2411421,1.7391047172678966,1.8581063588029092,1.7973496223780958
OMV,2024,3121103,1.6466887501201501,1.7876912462565269,1.7273702647623406
OMV,2025,2982984,1.614644748010717,1.7403798122953391,1.6816437329462182
OMV,2026,463739,1.7070265926018573,1.793885314552614,1.735221526911375
ORLEN,2014,726,1.3165757575757575,1.504249311294766,1.4642617079889808
ORLEN,2015,1954,1.1439948822927328,1.372971340839304,1.3527871033776868
ORLEN,2016,3152,1.0667950507614214,1.2922890228426396,1.272470812182741
ORLEN,2017,1313,1.1519114906832297,1.370409759876065,1.3500093167701863
ORLEN,2018,35,NaN,NaN,NaN
ORLEN,2021,7494,1.4052965038697625,1.6047394554191134,1.5447501334757077
ORLEN,2022,9659,1.9261291023915519,1.9109608655140282,1.850982606895124
ORLEN,2023,9319,1.7104250456057515,1.8454330936795793,1.785437385985621
ORLEN,2024,8826,1.641899388171312,1.7971486517108544,1.7371509177430318
ORLEN,2025,10121,1.5924749530678786,1.7355507360932712,1.6755507360932718
ORLEN,2026,1754,1.7007103762827824,1.7986693272519954,1.738612314709236
Q1,2014,105390,1.3229062286495104,1.5141581071796635,1.47403758931048
Q1,2015,222787,1.1576689708106846,1.381412265850388,1.3609994311332636
Q1,2016,258948,1.0732342014612972,1.2968746612125592,1.2765416969522645
Q1,2017,325077,1.1457460786213727,1.3581203622526357,1.338066138524359
Q1,2018,333218,1.2627774519983914,1.4384472087342222,1.418598811202596
Q1,2019,404782,1.2464295216610286,1.4185850713962735,1.3982744337864712
Q1,2020,504771,1.0949824018860075,1.2796026487311052,1.2438681425006874
Q1,2021,534172,1.3754187097039903,1.5721639153680835,1.5146886798177908
Q1,2022,569940,1.9329976401024667,1.9002966387630953,1.8452684515375688
Q1,2023,572519,1.7094017508589232,1.8295483049470846,1.7719364303005172
Q1,2024,677472,1.6279936483522321,1.7732214334952607,1.7144606650458178
Q1,2025,1115983,1.6014763887569434,1.7321913059529634,1.6751460245199552
Q1,2026,190757,1.7108733781722294,1.8058786466551686,1.749207090282357
RAIFFEISEN,2014,358345,1.3162455194932046,1.51008669694707,1.4659228354314586
RAIFFEISEN,2015,813002,1.1515809803800974,1.3775785284312734,1.357455536606164
RAIFFEISEN,2016,979179,1.066667030264405,1.2937495546173847,1.2726384608207124
RAIFFEISEN,2017,1254974,1.1432625741371876,1.3574702261198959,1.336535849648233
RAIFFEISEN,2018,1392226,1.2618754778621084,1.433377589154606,1.412536860503583
RAIFFEISEN,2019,1777665,1.244213705188248,1.4147956627772238,1.3937486476143552
RAIFFEISEN,2020,2205162,1.0949690058216974,1.276888621409478,1.2452980870140569
RAIFFEISEN,2021,2507870,1.3755980458226398,1.5732223915961383,1.5217411175211333
RAIFFEISEN,2022,2701473,1.9328041526044566,1.9090659834107717,1.855099967585148
RAIFFEISEN,2023,2706591,1.698567249577873,1.8318196760840735,1.7770087623097932
RAIFFEISEN,2024,2941805,1.6216044054735292,1.777477794966635,1.7217292996579916
RAIFFEISEN,2025,3418753,1.582721220799698,1.724582126940857,1.668253885236103
RAIFFEISEN,2026,583340,1.6910655033437392,1.7993125507923138,1.7438388492171082
SHELL,2014,2405867,1.3444987965042285,1.5301325614601802,1.4900284784619435
SHELL,2015,5362983,1.1825311201144666,1.403743857344632,1.3833104093228543
SHELL,2016,6296062,1.094360349297702,1.3135050757509659,1.2916593021453364
SHELL,2017,8250323,1.1728885102534015,1.3760994597454002,1.3421014020103312
SHELL,2018,9846819,1.2947119914155523,1.4597215067856328,1.4253210150156586
SHELL,2019,12249256,1.2738946248529557,1.4427771311941318,1.4067438629296316
SHELL,2020,12698640,1.120201440262598,1.2980734154418543,1.2617957494990333
SHELL,2021,14273100,1.3980158190615533,1.5890476528747859,1.5313254001594117
SHELL,2022,15421537,1.957398678766676,1.9191402604211047,1.862272141422018
SHELL,2023,15169128,1.7288061803354942,1.8501129349542702,1.7920994824513101
SHELL,2024,17805347,1.6470642181887627,1.7924665613050934,1.7344608236095937
SHELL,2025,19934516,1.6079199488860891,1.7376678161955414,1.6800289409865559
SHELL,2026,3381472,1.7148680213824041,1.8074275970943514,1.7495611373379112
STAR,2014,703142,1.3126673635674493,1.5045153900462898,1.4643833066775285
STAR,2015,1477152,1.1427549690351435,1.3680953167338146,1.3476615831394692
STAR,2016,1763039,1.0575986886216744,1.2814097190424396,1.2612431911940427
STAR,2017,2569281,1.129931524823385,1.34257450450731,1.322414964975738
STAR,2018,2724683,1.2511096663383778,1.4257345910384565,1.4056958279577476
STAR,2019,3399029,1.2344426404353555,1.407101061563629,1.387120518509489
STAR,2020,4512532,1.0877200558559925,1.2716613535380845,1.2356368673765172
STAR,2021,5281181,1.372734665594535,1.5691324373459248,1.5102956990766117
STAR,2022,5556232,1.9252878826064042,1.897639403667603,1.8377788627262954
STAR,2023,5902749,1.70129637342777,1.8271434457621123,1.7673439438362775
STAR,2024,6672873,1.6240771048505327,1.772547292463468,1.7129747781736777
STAR,2025,7963235,1.5848805017170797,1.7170282035892876,1.6580032696509968
STAR,2026,1360807,1.694105654080062,1.7883279892005257,1.7297977159397135
TOTAL,2014,856367,1.3333736368467464,1.5232725801366263,1.4832488439813352
TOTAL,2015,1882090,1.1678828241685084,1.3906117366641375,1.370345893026987
TOTAL,2016,2322813,1.086484552855329,1.307707381209666,1.2876672207258981
TOTAL,2017,2968953,1.1607541178800638,1.368464153223606,1.348388574696532
TOTAL,2018,3758686,1.286223513045033,1.457373784712014,1.4372816915980604
TOTAL,2019,4728621,1.2611021071560065,1.432603587622238,1.411881121206979
TOTAL,2020,5472914,1.10978560087003,1.2908008771926618,1.254711037602521
TOTAL,2021,6365465,1.3875350701365026,1.5821506645862735,1.5232708163855935
TOTAL,2022,6370939,1.9475396916584926,1.9135265087822624,1.8542663452574992
TOTAL,2023,6179617,1.7244358054876219,1.844468811092985,1.7852901752640662
TOTAL,2024,6858703,1.6426029055347635,1.7864480335422017,1.727314877481905
TOTAL,2025,8150352,1.6043708093762192,1.7325925286500272,1.6744031876011705
TOTAL,2026,1391458,1.7120869217755763,1.80189489729478,1.7430831319283204
WESTFALEN,2014,238060,1.3426338203294994,1.5318792563156878,1.492084458409295
WESTFALEN,2015,567248,1.1757153185202944,1.3996577528699972,1.3800369416777178
WESTFALEN,2016,627051,1.0863652063388782,1.309802537927779,1.2910657303200557
WESTFALEN,2017,765165,1.1608207939735793,1.3753409282193096,1.356330794444067
WESTFALEN,2018,848752,1.2851634258299243,1.4558288498878353,1.4355423697875613
WESTFALEN,2019,1081867,1.2598348725021051,1.4284134485177826,1.408012099996833
WESTFALEN,2020,1420220,1.1136537996279445,1.295875414109252,1.259819695247597
WESTFALEN,2021,1490969,1.3855729410675617,1.5841943266426066,1.5251558968113703
WESTFALEN,2022,1667838,1.943772768016942,1.91809558205866,1.8582033238888656
WESTFALEN,2023,2035414,1.713151566741595,1.8454795127641677,1.7858745628397728
WESTFALEN,2024,2257790,1.6377675442967334,1.7943694572335276,1.7351223563261917
WESTFALEN,2025,2557401,1.601821102361343,1.7388777013566095,1.679759783076647
WESTFALEN,2026,437585,1.7100133116994412,1.816636504907618,1.757679136624884
